id,value,feed_id,created_at,lat,lon,ele
0E4M209YKXGDAE5XDM5W3GPQMB,0,1047294,2019-04-14 04:00:01 UTC,0.0,0.0,0.0
0E4M20AX0PA6E2C1PEP6B7JZ67,0,1047294,2019-04-14 04:00:04 UTC,0.0,0.0,0.0
0E4M20BVDSN5EKN6P6S40G9FF2,0,1047294,2019-04-14 04:00:07 UTC,0.0,0.0,0.0
0E4M20CSTZXRB25EA71ZDJSC6F,0,1047294,2019-04-14 04:00:10 UTC,0.0,0.0,0.0
0E4M20DR73PZ8ED17ECSWE0DSN,0,1047294,2019-04-14 04:00:13 UTC,0.0,0.0,0.0
0E4M20EPMFHPRFPHM8J1N3827Z,0,1047294,2019-04-14 04:00:16 UTC,0.0,0.0,0.0
0E4M20FN2CFEXNTBHQBVA0PJF4,0,1047294,2019-04-14 04:00:20 UTC,0.0,0.0,0.0
0E4M20GKDZCXTGHT9F6TGDHVQC,0,1047294,2019-04-14 04:00:23 UTC,0.0,0.0,0.0
0E4M20HHVSVEEA8TVXS4SVSQQT,0,1047294,2019-04-14 04:00:26 UTC,0.0,0.0,0.0
0E4M20KEJNK0M32FVZPEB8DGQ8,0,1047294,2019-04-14 04:00:32 UTC,0.0,0.0,0.0
0E4M20MCZS5S5CXT1J1RXMH6FE,0,1047294,2019-04-14 04:00:35 UTC,0.0,0.0,0.0
0E4M20NBCX41HA1A6KBX7QMEJH,0,1047294,2019-04-14 04:00:38 UTC,0.0,0.0,0.0
0E4M20P9TH8D71B1GTDTAZ9NKP,0,1047294,2019-04-14 04:00:41 UTC,0.0,0.0,0.0
0E4M20Q866QKVPBKKX17A0GDXT,0,1047294,2019-04-14 04:00:44 UTC,0.0,0.0,0.0
0E4M20R6KCDNHKWTY1QYGANBSK,0,1047294,2019-04-14 04:00:48 UTC,0.0,0.0,0.0
0E4M20S50343YZMQ2RPZ6101RR,0,1047294,2019-04-14 04:00:51 UTC,0.0,0.0,0.0
0E4M20T3D56EC28BSEJ7X0E63Q,0,1047294,2019-04-14 04:00:54 UTC,0.0,0.0,0.0
0E4M20V1S7YRTN4R4Z314G6XJ2,0,1047294,2019-04-14 04:00:57 UTC,0.0,0.0,0.0
0E4M20Y3P480SFQ18Y3Z9ZC1RC,0,1047294,2019-04-14 04:01:07 UTC,0.0,0.0,0.0
0E4M20Z23KEP1HD16D37Y06KJ6,0,1047294,2019-04-14 04:01:10 UTC,0.0,0.0,0.0
0E4M2100GW533QD7EDB35YN7HB,0,1047294,2019-04-14 04:01:13 UTC,0.0,0.0,0.0
0E4M210YXPHBK2Z54XCCT2ESYX,0,1047294,2019-04-14 04:01:16 UTC,0.0,0.0,0.0
0E4M211X9N8KHG6CRG9V3SVWA8,0,1047294,2019-04-14 04:01:19 UTC,0.0,0.0,0.0
0E4M212VPT7B8K6M01SY03Q4GS,0,1047294,2019-04-14 04:01:23 UTC,0.0,0.0,0.0
0E4M213T31XJNFD0P9FBYXQ20W,0,1047294,2019-04-14 04:01:26 UTC,0.0,0.0,0.0
0E4M215PVS81X57DERT0EKMNC5,0,1047294,2019-04-14 04:01:32 UTC,0.0,0.0,0.0
0E4M216N8PAP3QAWKFZ9RCCRV4,0,1047294,2019-04-14 04:01:35 UTC,0.0,0.0,0.0
0E4M217KQ7R69ER35SNVGDE1RC,0,1047294,2019-04-14 04:01:38 UTC,0.0,0.0,0.0
0E4M218J2K20VT9MQEKRPDMVZD,0,1047294,2019-04-14 04:01:41 UTC,0.0,0.0,0.0
0E4M219GFR62BYDQ0RKZ0JWYJ9,0,1047294,2019-04-14 04:01:44 UTC,0.0,0.0,0.0
0E4M21AEX2K676JHP51NKNF47X,0,1047294,2019-04-14 04:01:47 UTC,0.0,0.0,0.0
0E4M21BDA1W9M4G8AJQDJN32R2,0,1047294,2019-04-14 04:01:51 UTC,0.0,0.0,0.0
0E4M21CBNZC1Z636TWK6FXDE9Z,0,1047294,2019-04-14 04:01:54 UTC,0.0,0.0,0.0
0E4M21DA2MDKACCAYNB1K89CAC,0,1047294,2019-04-14 04:01:57 UTC,0.0,0.0,0.0
0E4M21E8FM45T7XE7Z90XCFVDA,0,1047294,2019-04-14 04:02:00 UTC,0.0,0.0,0.0
0E4M21GCB7YQE8BWCJNW9MZJQY,0,1047294,2019-04-14 04:02:07 UTC,0.0,0.0,0.0
0E4M21HAPNV6VNTP777RYDN566,0,1047294,2019-04-14 04:02:10 UTC,0.0,0.0,0.0
0E4M21J93H1ZWVJ8A530T3EKYN,0,1047294,2019-04-14 04:02:13 UTC,0.0,0.0,0.0
0E4M21K7GC47X7ACSJW4VGZJAG,0,1047294,2019-04-14 04:02:16 UTC,0.0,0.0,0.0
0E4M21M5WWHE76MF0TA7BCYQ58,0,1047294,2019-04-14 04:02:19 UTC,0.0,0.0,0.0
0E4M21N477WV3ENVZFF4NCG1FD,0,1047294,2019-04-14 04:02:22 UTC,0.0,0.0,0.0
0E4M21P2KR38RC37Q5MDXBR5MP,0,1047294,2019-04-14 04:02:25 UTC,0.0,0.0,0.0
0E4M21QZC9FE34YCFTY9YP1CJ8,0,1047294,2019-04-14 04:02:32 UTC,0.0,0.0,0.0
0E4M21RXTJGRP6X2K7QBG26RSF,0,1047294,2019-04-14 04:02:35 UTC,0.0,0.0,0.0
0E4M21SW6883DJ0KGV08TQKS36,0,1047294,2019-04-14 04:02:38 UTC,0.0,0.0,0.0
0E4M21TTK5PP7MWWE2YVXJKV90,0,1047294,2019-04-14 04:02:41 UTC,0.0,0.0,0.0
0E4M21VRZPMDPH6QBK1JHTPSFD,0,1047294,2019-04-14 04:02:44 UTC,0.0,0.0,0.0
0E4M21WQCKWK5A6FPV73WXX2RD,0,1047294,2019-04-14 04:02:47 UTC,0.0,0.0,0.0
0E4M21XNS904T84YYQE03DBY5A,0,1047294,2019-04-14 04:02:50 UTC,0.0,0.0,0.0
0E4M21YM6BG7SA4X2SP0HPSSEJ,0,1047294,2019-04-14 04:02:53 UTC,0.0,0.0,0.0
0E4M21ZJK1FEYJQJGJ7MW1DXTR,0,1047294,2019-04-14 04:02:57 UTC,0.0,0.0,0.0
0E4M220H1XB81JEZMJ9PHG1KA8,0,1047294,2019-04-14 04:03:00 UTC,0.0,0.0,0.0
0E4M223KDNVZ8BPMYHSVYQYW7P,0,1047294,2019-04-14 04:03:10 UTC,0.0,0.0,0.0
0E4M224HTKTBY8BF7KXMMYNP2X,0,1047294,2019-04-14 04:03:13 UTC,0.0,0.0,0.0
0E4M225G67F5WJTJDT2A0ZP26P,0,1047294,2019-04-14 04:03:16 UTC,0.0,0.0,0.0
0E4M226EK47GES6241JDZ9D30X,0,1047294,2019-04-14 04:03:19 UTC,0.0,0.0,0.0
0E4M227CZQHDJPG2N9F64499ZF,0,1047294,2019-04-14 04:03:22 UTC,0.0,0.0,0.0
0E4M228BCN9FYSYM246DDVXYK4,0,1047294,2019-04-14 04:03:25 UTC,0.0,0.0,0.0
0E4M22A859P8R51JSVC7J7PWZX,0,1047294,2019-04-14 04:03:32 UTC,0.0,0.0,0.0
0E4M22B6JAMW1FJDRBVTW9NPDA,0,1047294,2019-04-14 04:03:35 UTC,0.0,0.0,0.0
0E4M22D38BZ1D6H17161YP87PN,0,1047294,2019-04-14 04:03:41 UTC,0.0,0.0,0.0
0E4M22E1P5SCJQS5B3RF60Y2ZZ,0,1047294,2019-04-14 04:03:44 UTC,0.0,0.0,0.0
0E4M22F01CJZ1FENYAJMR5X905,0,1047294,2019-04-14 04:03:47 UTC,0.0,0.0,0.0
0E4M22FYECQM44R1TFGHF3GSEZ,0,1047294,2019-04-14 04:03:50 UTC,0.0,0.0,0.0
0E4M22GWWQSPF4Z3XQV8XGM7VK,0,1047294,2019-04-14 04:03:53 UTC,0.0,0.0,0.0
0E4M22HV8Z0F9KAYR443D7ED45,0,1047294,2019-04-14 04:03:56 UTC,0.0,0.0,0.0
0E4M22MPDBS3F63XR07ZMVQD4K,0,1047294,2019-04-14 04:04:06 UTC,0.0,0.0,0.0
0E4M22NVZ48NWHDWV8E42KW9MC,0,1047294,2019-04-14 04:04:10 UTC,0.0,0.0,0.0
0E4M22PTB7S8Z9WQAMX0TQ0T2S,0,1047294,2019-04-14 04:04:13 UTC,0.0,0.0,0.0
0E4M22QRR6A5T6R6PHFYP3XRJC,0,1047294,2019-04-14 04:04:16 UTC,0.0,0.0,0.0
0E4M22RQ5QMDJ7VJHTV4T4MPHX,0,1047294,2019-04-14 04:04:19 UTC,0.0,0.0,0.0
0E4M22SNHYX4FV245NRWE34N3P,0,1047294,2019-04-14 04:04:22 UTC,0.0,0.0,0.0
0E4M22TKYPFSN98Q7F9SA2X1RY,0,1047294,2019-04-14 04:04:25 UTC,0.0,0.0,0.0
0E4M22WGQ3GP1A3GF60277XR5N,0,1047294,2019-04-14 04:04:31 UTC,0.0,0.0,0.0
0E4M22XF4ABQRN4985Q2Z2KCYF,0,1047294,2019-04-14 04:04:35 UTC,0.0,0.0,0.0
0E4M22YDHH0PRV620REX3PW8H8,0,1047294,2019-04-14 04:04:38 UTC,0.0,0.0,0.0
0E4M22ZBXYY22V400CZMNE2FAR,0,1047294,2019-04-14 04:04:41 UTC,0.0,0.0,0.0
0E4M230AAV5BWVNBSYHQY7Q1KM,0,1047294,2019-04-14 04:04:44 UTC,0.0,0.0,0.0
0E4M2318RE6Z7PT295S33TXCGG,0,1047294,2019-04-14 04:04:47 UTC,0.0,0.0,0.0
0E4M23274KTW3YEWRGQNWT162W,0,1047294,2019-04-14 04:04:50 UTC,0.0,0.0,0.0
0E4M2335H2DJ843MK1DAWRA385,0,1047294,2019-04-14 04:04:53 UTC,0.0,0.0,0.0
0E4M2343WR4AWCTT3DXCVKN1H2,0,1047294,2019-04-14 04:04:56 UTC,0.0,0.0,0.0
0E4M236YZF7AXXTBPYZ74AFNQA,0,1047294,2019-04-14 04:05:06 UTC,0.0,0.0,0.0
0E4M237XCW7EPV8J3J1ENYES8C,0,1047294,2019-04-14 04:05:09 UTC,0.0,0.0,0.0
0E4M23A1ABBRG3YJ8YMHED6E05,0,1047294,2019-04-14 04:05:16 UTC,0.0,0.0,0.0
0E4M23AZQBJ52VA2JB6J70M125,0,1047294,2019-04-14 04:05:19 UTC,0.0,0.0,0.0
0E4M23BY42KX0ZBE9SEHZMJR69,0,1047294,2019-04-14 04:05:22 UTC,0.0,0.0,0.0
0E4M23CWGF0CEYQEDXA4N0488T,0,1047294,2019-04-14 04:05:25 UTC,0.0,0.0,0.0
0E4M23ES9B7KSPJCKR9BKANS6B,0,1047294,2019-04-14 04:05:31 UTC,0.0,0.0,0.0
0E4M23FQP8SQKANQTN6JKJQTGJ,0,1047294,2019-04-14 04:05:34 UTC,0.0,0.0,0.0
0E4M23GP2S7BMAK2JKFHSNT3NB,0,1047294,2019-04-14 04:05:38 UTC,0.0,0.0,0.0
0E4M23HMFV8CB76SZY0EYGXWSJ,0,1047294,2019-04-14 04:05:41 UTC,0.0,0.0,0.0
0E4M23JJXF7K9SHMSWDJS32ZFJ,0,1047294,2019-04-14 04:05:44 UTC,0.0,0.0,0.0
0E4M23MFNDVMEFTVT58P4DX9CN,0,1047294,2019-04-14 04:05:50 UTC,0.0,0.0,0.0
0E4M23NE2B43CAF2EE9J0J4SZ8,0,1047294,2019-04-14 04:05:53 UTC,0.0,0.0,0.0
0E4M23PCF570C15DFMHDZHDQTM,0,1047294,2019-04-14 04:05:56 UTC,0.0,0.0,0.0
0E4M23S7KK5HFF48E16YSHC7JW,0,1047294,2019-04-14 04:06:06 UTC,0.0,0.0,0.0
0E4M23T610WRP35CHC6KKY6251,0,1047294,2019-04-14 04:06:09 UTC,0.0,0.0,0.0
0E4M23V4D08JXMY3R67S2R7MT7,0,1047294,2019-04-14 04:06:12 UTC,0.0,0.0,0.0
0E4M23W9ZAK9WJQEB39VQSJWH6,0,1047294,2019-04-14 04:06:16 UTC,0.0,0.0,0.0
0E4M23X88VB03G9CZFAN3HKGQK,0,1047294,2019-04-14 04:06:19 UTC,0.0,0.0,0.0
0E4M23Y6NKCYJNG17CE0BCV6GZ,0,1047294,2019-04-14 04:06:22 UTC,0.0,0.0,0.0
0E4M23Z537GR40XW64ASBQ540J,0,1047294,2019-04-14 04:06:25 UTC,0.0,0.0,0.0
0E4M2411W5J1HGWGKX6TCJ0R32,0,1047294,2019-04-14 04:06:31 UTC,0.0,0.0,0.0
0E4M24209QH98N55YRTVSNQT34,0,1047294,2019-04-14 04:06:34 UTC,0.0,0.0,0.0
0E4M242YPW33NJPSH52SVK8FB4,0,1047294,2019-04-14 04:06:37 UTC,0.0,0.0,0.0
0E4M243X1MAPB0EY8JQFNV0FBW,0,1047294,2019-04-14 04:06:41 UTC,0.0,0.0,0.0
0E4M244VEW62C15KZB5G0GNKA6,0,1047294,2019-04-14 04:06:44 UTC,0.0,0.0,0.0
0E4M245SWHDC3GQJFP8GPAMYAQ,0,1047294,2019-04-14 04:06:47 UTC,0.0,0.0,0.0
0E4M246R84BNKJN3HV3GMJSP79,0,1047294,2019-04-14 04:06:50 UTC,0.0,0.0,0.0
0E4M247PN9397MAYAWFHYCY6N4,0,1047294,2019-04-14 04:06:53 UTC,0.0,0.0,0.0
0E4M248N1PBYNEN4H8ZBYPG5BK,0,1047294,2019-04-14 04:06:56 UTC,0.0,0.0,0.0
0E4M24BG6K57YGMRTR4MRFVFQF,0,1047294,2019-04-14 04:07:05 UTC,0.0,0.0,0.0
0E4M24CEK6QK9E0JRT1TZVY2R1,0,1047294,2019-04-14 04:07:09 UTC,0.0,0.0,0.0
0E4M24DCZVNJMM3VBMV7ZETD06,0,1047294,2019-04-14 04:07:12 UTC,0.0,0.0,0.0
0E4M24EBKQ1Z0K6SXS5MYQGHNR,0,1047294,2019-04-14 04:07:15 UTC,0.0,0.0,0.0
0E4M24GFAQ45TK5CFP2WZ6F9R4,0,1047294,2019-04-14 04:07:22 UTC,0.0,0.0,0.0
0E4M24HDQT0RPYW2Q2A3EQEDH2,0,1047294,2019-04-14 04:07:25 UTC,0.0,0.0,0.0
0E4M24KAG28JB5ZV0M2T4FQFPE,0,1047294,2019-04-14 04:07:31 UTC,0.0,0.0,0.0
0E4M24M8X2G3ZF5QNXR326M8CF,0,1047294,2019-04-14 04:07:34 UTC,0.0,0.0,0.0
0E4M24N77EJYBA2MQRG51P0QJ5,0,1047294,2019-04-14 04:07:37 UTC,0.0,0.0,0.0
0E4M24P5GSYPR1PBK57HVQ5EAY,0,1047294,2019-04-14 04:07:40 UTC,0.0,0.0,0.0
0E4M24Q3XNZ3H87MFBMABCYCJG,0,1047294,2019-04-14 04:07:43 UTC,0.0,0.0,0.0
0E4M24R2AV47D65AWGAKGG34AA,0,1047294,2019-04-14 04:07:47 UTC,0.0,0.0,0.0
0E4M24S0PXAJ11DZCZ7W0F2CCT,0,1047294,2019-04-14 04:07:50 UTC,0.0,0.0,0.0
0E4M24SZ3VZ8K6DVF2ZBA4YNP0,0,1047294,2019-04-14 04:07:53 UTC,0.0,0.0,0.0
0E4M24TXHCTHSZZ2HYT9BF4T73,0,1047294,2019-04-14 04:07:56 UTC,0.0,0.0,0.0
0E4M24XRP7SW369C3G4CK43J44,0,1047294,2019-04-14 04:08:05 UTC,0.0,0.0,0.0
0E4M24YQ27CD344082CFF8AFGR,0,1047294,2019-04-14 04:08:08 UTC,0.0,0.0,0.0
0E4M24ZNFZQV3SMKNBJE7HXW3G,0,1047294,2019-04-14 04:08:11 UTC,0.0,0.0,0.0
0E4M250KX0007P2YZWJAZRSA20,0,1047294,2019-04-14 04:08:15 UTC,0.0,0.0,0.0
0E4M251J8XB4PCD0A8WNMS01CG,0,1047294,2019-04-14 04:08:18 UTC,0.0,0.0,0.0
0E4M252QX4R1G962DQBXG9MQ7T,0,1047294,2019-04-14 04:08:22 UTC,0.0,0.0,0.0
0E4M253PA1GA3C17D543BESSRD,0,1047294,2019-04-14 04:08:25 UTC,0.0,0.0,0.0
0E4M257FVB9M245D4BX3015E7Q,1,1047294,2019-04-14 04:08:37 UTC,0.0,0.0,0.0
0E4M258E64A5DQ7MBBQE9PFFDJ,1,1047294,2019-04-14 04:08:40 UTC,0.0,0.0,0.0
0E4M259CHTNNKEAMKWXP3RWYTY,1,1047294,2019-04-14 04:08:43 UTC,0.0,0.0,0.0
0E4M25AAYGYJH8HP5WRXVVJV51,1,1047294,2019-04-14 04:08:46 UTC,0.0,0.0,0.0
0E4M25B9BVKF06FNS2FQPTFKZV,1,1047294,2019-04-14 04:08:50 UTC,0.0,0.0,0.0
0E4M25C7N7F9Z0E5YD7RXW2WWN,1,1047294,2019-04-14 04:08:53 UTC,0.0,0.0,0.0
0E4M25D61Q80QWS4XWQSFMGMKT,1,1047294,2019-04-14 04:08:56 UTC,0.0,0.0,0.0
0E4M25E4ERF3QMCC7SK97KQ1MJ,1,1047294,2019-04-14 04:08:59 UTC,0.0,0.0,0.0
0E4M25F2W4XCYN9HWG7MPDEB9N,1,1047294,2019-04-14 04:09:02 UTC,0.0,0.0,0.0
